FRB20240201A  149.9052397712578 14.088115449794733 
FRB20240203  8.903936023671532 15.837756668785728 
FRB20240216  153.08286370305336 14.040674544357902 
FRB20240318  150.4610088325347 37.61364792630731 
J0311+1402  47.83419999957191 14.041499999496727 
FRB20240114A  321.91599999999625 4.329538999999841 
FRB20201124A  77.01469499030473 26.060698832627928 
FRB20180301A  93.2271087613265 4.67105561353789 
J1012+5307  153.13932686666664 53.11729541111111 
J1022+1001  155.74162291666667 10.031366666666667 
J2145-0750  326.46023292 -7.83849722 
Crab_PSR  83.63311446 22.01448714 
B0656+14_PSR  104.95081667 14.23872222 
J0549+34  87.39583333333331 34.01138888888889 
